iteration,seconds,mse,rmse,mae,wmape,smape
1,8,64.2331873455356,8.014560957752808,6.53372792923858,32.74925536738576,45.22238063905133
2,16,64.2331873455356,8.014560957752808,6.53372792923858,32.74925536738576,45.22238063905133
3,24,64.2331873455356,8.014560957752808,6.53372792923858,32.74925536738576,45.22238063905133
4,32,64.06349642741631,8.00396754287624,6.5261177404674795,32.71111052600914,45.169803563344
5,40,64.06349642741631,8.00396754287624,6.5261177404674795,32.71111052600914,45.169803563344
6,48,64.06349642741631,8.00396754287624,6.5261177404674795,32.71111052600914,45.169803563344
7,56,64.06349642741631,8.00396754287624,6.5261177404674795,32.71111052600914,45.169803563344
8,64,61.06601553090711,7.814474744402665,6.430315116196088,32.23091535395595,43.69162612210464
9,72,60.64489486182891,7.787483217434816,6.41013746675066,32.12977814690378,43.608251627346114
10,80,60.64489486182891,7.787483217434816,6.41013746675066,32.12977814690378,43.608251627346114
11,88,52.00889685934276,7.2117194107468405,5.730911133578053,28.72526591770923,41.86865654153644
12,96,52.00889685934276,7.2117194107468405,5.730911133578053,28.72526591770923,41.86865654153644
13,104,52.00889685934276,7.2117194107468405,5.730911133578053,28.72526591770923,41.86865654153644
14,112,52.00889685934276,7.2117194107468405,5.730911133578053,28.72526591770923,41.86865654153644
15,120,52.00889685934276,7.2117194107468405,5.730911133578053,28.72526591770923,41.86865654153644
16,130,52.00889685934276,7.2117194107468405,5.730911133578053,28.72526591770923,41.86865654153644
17,138,51.85349336489034,7.200936978261256,5.723256262973415,28.686897115862774,41.83240849701565
18,147,51.85349336489034,7.200936978261256,5.723256262973415,28.686897115862774,41.83240849701565
19,155,51.529332181545485,7.1783934262163065,5.710743070803403,28.62417676229509,41.64017594308609
20,164,51.529332181545485,7.1783934262163065,5.710743070803403,28.62417676229509,41.64017594308609
21,172,51.529332181545485,7.1783934262163065,5.710743070803403,28.62417676229509,41.64017594308609
22,180,51.529332181545485,7.1783934262163065,5.710743070803403,28.62417676229509,41.64017594308609
23,189,51.529332181545485,7.1783934262163065,5.710743070803403,28.62417676229509,41.64017594308609
24,197,51.529332181545485,7.1783934262163065,5.710743070803403,28.62417676229509,41.64017594308609
25,205,51.529332181545485,7.1783934262163065,5.710743070803403,28.62417676229509,41.64017594308609
26,213,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
27,222,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
28,230,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
29,239,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
30,247,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
31,255,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
32,263,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
33,272,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
34,280,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
35,288,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
36,297,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
37,305,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
38,314,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
39,322,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
40,330,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
41,338,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
42,346,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
43,355,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
44,363,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
45,371,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
46,380,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
47,388,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
48,396,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
49,405,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
50,413,48.11075725450181,6.936191840952917,5.594764260915689,28.042851720396555,40.078630754424495
