iteration,mse,rmse,mae,wmape,smape
1,246.1775419271014,15.690045950445825,15.182986100018109,347.98066343239753,135.0753611412671
2,216.6937587638896,14.720521687898483,14.169656602758034,324.7560442165663,132.4741792353257
3,216.6937587638896,14.720521687898483,14.169656602758034,324.7560442165663,132.4741792353257
4,216.6937587638896,14.720521687898483,14.169656602758034,324.7560442165663,132.4741792353257
5,212.18161578320237,14.566455155019781,13.993936238742025,320.7286883034367,131.95256574621084
6,212.18161578320237,14.566455155019781,13.993936238742025,320.7286883034367,131.95256574621084
7,212.18161578320237,14.566455155019781,13.993936238742025,320.7286883034367,131.95256574621084
8,203.18409880839593,14.254265986307255,13.204670558932527,184.29044062976138,107.50483209581661
9,203.18409880839593,14.254265986307255,13.204670558932527,184.29044062976138,107.50483209581661
10,203.18409880839593,14.254265986307255,13.204670558932527,184.29044062976138,107.50483209581661
11,203.18409880839593,14.254265986307255,13.204670558932527,184.29044062976138,107.50483209581661
12,195.4858716044699,13.981626214588555,12.955064680948544,181.45214720115771,107.03303258537534
13,195.4858716044699,13.981626214588555,12.955064680948544,181.45214720115771,107.03303258537534
14,195.4858716044699,13.981626214588555,12.955064680948544,181.45214720115771,107.03303258537534
15,150.98438070618792,12.287570170956824,10.916971009033862,118.75820746103254,89.1898202885693
16,142.08756149761174,11.920048720437839,10.381871472384967,95.25510565355464,80.28868526581105
17,142.08756149761174,11.920048720437839,10.381871472384967,95.25510565355464,80.28868526581105
18,135.34443844009056,11.633762866763727,10.040613830012983,85.81959371844037,76.37843682334687
19,135.34443844009056,11.633762866763727,10.040613830012983,85.81959371844037,76.37843682334687
20,135.34443844009056,11.633762866763727,10.040613830012983,85.81959371844037,76.37843682334687
21,135.34443844009056,11.633762866763727,10.040613830012983,85.81959371844037,76.37843682334687
22,135.34443844009056,11.633762866763727,10.040613830012983,85.81959371844037,76.37843682334687
23,135.34443844009056,11.633762866763727,10.040613830012983,85.81959371844037,76.37843682334687
24,135.34443844009056,11.633762866763727,10.040613830012983,85.81959371844037,76.37843682334687
25,87.62591015860316,9.36087122860918,8.711641469009297,227.11283207144862,119.83109638121097
26,87.62591015860316,9.36087122860918,8.711641469009297,227.11283207144862,119.83109638121097
27,87.62591015860316,9.36087122860918,8.711641469009297,227.11283207144862,119.83109638121097
28,90.93581280902335,9.536027097750056,7.767274578349852,94.376355433253,79.72037463985029
29,90.93581280902335,9.536027097750056,7.767274578349852,94.376355433253,79.72037463985029
30,90.93581280902335,9.536027097750056,7.767274578349852,94.376355433253,79.72037463985029
31,90.93581280902335,9.536027097750056,7.767274578349852,94.376355433253,79.72037463985029
32,90.93581280902335,9.536027097750056,7.767274578349852,94.376355433253,79.72037463985029
33,90.93581280902335,9.536027097750056,7.767274578349852,94.376355433253,79.72037463985029
34,90.93581280902335,9.536027097750056,7.767274578349852,94.376355433253,79.72037463985029
35,90.93581280902335,9.536027097750056,7.767274578349852,94.376355433253,79.72037463985029
36,90.93581280902335,9.536027097750056,7.767274578349852,94.376355433253,79.72037463985029
37,90.93581280902335,9.536027097750056,7.767274578349852,94.376355433253,79.72037463985029
38,89.99744508481986,9.486698323696178,7.716923352666739,93.18853983168692,79.25677158105266
39,89.99744508481986,9.486698323696178,7.716923352666739,93.18853983168692,79.25677158105266
40,89.99744508481986,9.486698323696178,7.716923352666739,93.18853983168692,79.25677158105266
41,89.99744508481986,9.486698323696178,7.716923352666739,93.18853983168692,79.25677158105266
42,89.99744508481986,9.486698323696178,7.716923352666739,93.18853983168692,79.25677158105266
43,89.99744508481986,9.486698323696178,7.716923352666739,93.18853983168692,79.25677158105266
44,89.99744508481986,9.486698323696178,7.716923352666739,93.18853983168692,79.25677158105266
45,89.99744508481986,9.486698323696178,7.716923352666739,93.18853983168692,79.25677158105266
46,89.99744508481986,9.486698323696178,7.716923352666739,93.18853983168692,79.25677158105266
47,43.92019894464723,6.627231619963741,6.627231619963741,220.90772066545804,104.96729321866627
48,43.92019894464723,6.627231619963741,6.627231619963741,220.90772066545804,104.96729321866627
49,43.92019894464723,6.627231619963741,6.627231619963741,220.90772066545804,104.96729321866627
50,43.92019894464723,6.627231619963741,6.627231619963741,220.90772066545804,104.96729321866627
51,43.92019894464723,6.627231619963741,6.627231619963741,220.90772066545804,104.96729321866627
52,43.92019894464723,6.627231619963741,6.627231619963741,220.90772066545804,104.96729321866627
53,43.92019894464723,6.627231619963741,6.627231619963741,220.90772066545804,104.96729321866627
54,43.92019894464723,6.627231619963741,6.627231619963741,220.90772066545804,104.96729321866627
